Vehicle ID,Latitude,Longitude,Direction,Wrong side
veh104,81.2291384,60.34436578,350.2140287,FALSE
veh105,149.281992,1457.19818,17.74081211,FALSE
veh106,76.38837867,88.40419667,350.2020547,FALSE
veh107,657.3539279,2175.536132,211.7273308,FALSE
veh108,458.0024397,1936.31896,222.4858816,TRUE
veh109,1154.596656,3823.386225,16.42779395,TRUE
veh110,29.73176636,739.6419218,190.1343705,TRUE
veh111,1162.659424,3850.732178,16.42779395,TRUE
veh112,890.4422668,2695.061298,201.4935657,TRUE
veh113,25.28672079,711.7943593,188.4511925,TRUE
veh114,421.4899046,1896.452803,222.4858816,TRUE
veh115,1170.706203,3878.023901,16.42779395,TRUE
veh116,21.14121386,683.8722924,188.4153765,TRUE
veh117,872.298496,2648.985479,201.4935657,TRUE
veh118,1310.395371,6115.542644,346.2512861,TRUE
veh119,17.60699076,656.0841707,187.2482297,TRUE
veh120,863.3011209,2626.197274,201.7474965,TRUE
veh121,13.97435403,627.6391418,187.3424809,TRUE
veh122,368.6110605,1836.217173,219.7579078,TRUE
veh123,854.118484,2603.721111,202.222471,TRUE
veh124,1297.189317,6169.516577,346.2512861,TRUE
veh125,11.92677161,599.7579239,183.0067355,TRUE
veh126,844.8743238,2581.094359,202.222471,TRUE
veh127,86.76226411,4.926434758,354.5119568,TRUE
veh128,10.4218031,571.1058606,183.0067355,TRUE
veh129,1172.0455,3860.34089,196.1875311,TRUE
veh130,83.51997744,28.24351379,350.2068836,TRUE
veh131,11.20341981,542.6214692,178.2966023,TRUE
veh132,826.4374669,2536.092595,202.7675891,TRUE
veh133,79.52615605,51.38184718,350.2068836,TRUE
veh134,12.0605169,513.8004972,178.2966023,TRUE
veh135,75.72799374,73.38662331,350.2068836,TRUE
veh136,14.07948576,485.3683485,174.6501111,TRUE
veh137,805.9861257,2491.846851,204.807402,TRUE
veh138,1152.923575,3791.793757,195.1704439,TRUE
veh139,71.80045058,96.13725031,350.203669,TRUE
veh140,16.71067314,457.2710261,174.6501111,TRUE
veh141,67.89490898,118.6212737,349.9398622,TRUE
veh142,1242.288818,4119.791911,16.01674236,TRUE
veh143,19.35490167,429.0344428,174.6501111,TRUE
veh144,785.5080798,2447.541434,204.803899,TRUE
veh145,66.13322285,141.8646541,347.7750299,TRUE
veh146,23.73146946,400.8576458,170.7535408,TRUE
veh147,61.38770333,163.7673337,347.7750299,TRUE
veh148,28.8587807,372.5309569,168.9626244,TRUE
veh149,765.437417,2404.112302,204.803899,TRUE
veh150,56.59506297,185.887497,347.7750299,TRUE
veh151,34.26694403,344.8049431,168.9626244,TRUE
veh152,51.69926639,208.483772,347.7750299,TRUE
veh153,39.58757287,317.4789544,168.9830264,TRUE
veh154,1101.871503,3643.029685,15.35216113,TRUE
veh155,46.94352041,230.4336514,347.7750299,TRUE
veh156,44.89650761,290.2099849,168.9830264,TRUE
veh157,735.2242997,2337.073256,203.9219872,TRUE
veh158,42.09050392,252.8324773,347.7750299,TRUE
veh159,50.43771999,262.8136212,167.7957415,TRUE
veh160,725.527819,2315.214554,203.9219872,TRUE
veh161,37.24169827,275.2118683,347.7750299,TRUE
veh162,56.52124374,234.6863308,167.7957415,TRUE
veh163,715.4314231,2292.454326,203.9219872,TRUE
veh164,1097.111583,3586.372738,195.20314,TRUE
veh165,32.34304979,297.8213061,347.7750299,TRUE
veh166,62.44836286,207.2821802,167.7957415,TRUE
veh167,705.0396454,2270.174619,206.0615397,TRUE
veh168,1091.465363,3562.941596,193.0146608,TRUE
veh169,27.8867513,320.5610867,348.9223649,TRUE
veh170,68.46091078,179.4830479,167.7957415,TRUE
